month_num,month_name,member_casual,rides
1,January,casual,24656
1,January,member,112933
2,February,casual,41088
2,February,member,160251
3,March,casual,87631
3,March,member,229121
4,April,casual,131223
4,April,member,316675
5,May,casual,244654
5,May,member,408510
6,June,casual,307827
6,June,member,453983
7,July,casual,322505
7,July,member,439965
8,August,casual,337246
8,August,member,452355
9,September,casual,264772
9,September,member,449202
10,October,casual,223569
10,October,member,421921
11,November,casual,98871
11,November,member,257292
12,December,casual,28005
12,December,member,112415